,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,minimum oxidation state,maximum oxidation state,range oxidation state,std_dev oxidation state,compound possible,max ionic char,avg ionic char,Yang omega,Yang delta,Miedema_deltaH_inter,Miedema_deltaH_amor,Miedema_deltaH_ss_min,density,vpa,packing fraction,spacegroup_num,crystal_system_int,is_centrosymmetric,ewald_energy,sine coulomb matrix eig 0,sine coulomb matrix eig 1,sine coulomb matrix eig 2,sine coulomb matrix eig 3,sine coulomb matrix eig 4,sine coulomb matrix eig 5,sine coulomb matrix eig 6,sine coulomb matrix eig 7,sine coulomb matrix eig 8,sine coulomb matrix eig 9,sine coulomb matrix eig 10,sine coulomb matrix eig 11,sine coulomb matrix eig 12,sine coulomb matrix eig 13,sine coulomb matrix eig 14,sine coulomb matrix eig 15,structural complexity per atom,structural complexity per cell
0,40,42,2,41.2,0.96,42,44,50,6,47.6,2.88,50,91.224,95.96,4.736,94.0656,2.27328,95.96,2128,2896,768,2588.8,368.64,2896,4,6,2,5.2,0.96,6,5,5,0,5,0,5,154,175,21,162.4,10.08,154,1.33,2.16,0.83,1.828,0.3984,2.16,1,2,1,1.4,0.48,1,0,0,0,0,0,0,2,5,3,3.8,1.44,5,0,0,0,0,0,0,4,6,2,5.2,0.96,6,0,1,1,0.6,0.48,1,0,0,0,0,0,0,5,8,3,6.2,1.44,5,0,0,0,0,0,0,6,8,2,6.8,0.96,6,15.69,23.195,7.505,18.692,3.6024,15.69,0,0,0,0,0,0,0,0,0,0,0,0,194,229,35,215,16.8,229,0,0,0,0,TRUE,0.158210251,0.03797046,2.514829984,0.063492913,-0.090538409,0.014236917,-0.009122729,8.383302087,18.629852,0.746191799,69,5,TRUE,0,4312.131981,3884.739732,3780.84006,3417.20153,3402.809074,0,0,0,0,0,0,0,0,0,0,0,1.521928095,7.609640474
1,40,42,2,41.2,0.96,42,44,50,6,47.6,2.88,50,91.224,95.96,4.736,94.0656,2.27328,95.96,2128,2896,768,2588.8,368.64,2896,4,6,2,5.2,0.96,6,5,5,0,5,0,5,154,175,21,162.4,10.08,154,1.33,2.16,0.83,1.828,0.3984,2.16,1,2,1,1.4,0.48,1,0,0,0,0,0,0,2,5,3,3.8,1.44,5,0,0,0,0,0,0,4,6,2,5.2,0.96,6,0,1,1,0.6,0.48,1,0,0,0,0,0,0,5,8,3,6.2,1.44,5,0,0,0,0,0,0,6,8,2,6.8,0.96,6,15.69,23.195,7.505,18.692,3.6024,15.69,0,0,0,0,0,0,0,0,0,0,0,0,194,229,35,215,16.8,229,0,0,0,0,TRUE,0.158210251,0.03797046,2.514829984,0.063492913,-0.090538409,0.014236917,-0.009122729,8.383302087,18.629852,0.746191799,12,6,TRUE,0,4343.958346,3787.187392,3816.437637,3465.917883,3384.221118,0,0,0,0,0,0,0,0,0,0,0,1.521928095,7.609640474
2,40,42,2,41.2,0.96,42,44,50,6,47.6,2.88,50,91.224,95.96,4.736,94.0656,2.27328,95.96,2128,2896,768,2588.8,368.64,2896,4,6,2,5.2,0.96,6,5,5,0,5,0,5,154,175,21,162.4,10.08,154,1.33,2.16,0.83,1.828,0.3984,2.16,1,2,1,1.4,0.48,1,0,0,0,0,0,0,2,5,3,3.8,1.44,5,0,0,0,0,0,0,4,6,2,5.2,0.96,6,0,1,1,0.6,0.48,1,0,0,0,0,0,0,5,8,3,6.2,1.44,5,0,0,0,0,0,0,6,8,2,6.8,0.96,6,15.69,23.195,7.505,18.692,3.6024,15.69,0,0,0,0,0,0,0,0,0,0,0,0,194,229,35,215,16.8,229,0,0,0,0,TRUE,0.158210251,0.03797046,2.514829984,0.063492913,-0.090538409,0.014236917,-0.009122729,8.383302087,18.629852,0.746191799,139,4,TRUE,0,4338.522567,3841.885244,3779.529806,3445.049974,3392.734787,0,0,0,0,0,0,0,0,0,0,0,1.521928095,7.609640474
3,40,42,2,41.2,0.96,42,44,50,6,47.6,2.88,50,91.224,95.96,4.736,94.0656,2.27328,95.96,2128,2896,768,2588.8,368.64,2896,4,6,2,5.2,0.96,6,5,5,0,5,0,5,154,175,21,162.4,10.08,154,1.33,2.16,0.83,1.828,0.3984,2.16,1,2,1,1.4,0.48,1,0,0,0,0,0,0,2,5,3,3.8,1.44,5,0,0,0,0,0,0,4,6,2,5.2,0.96,6,0,1,1,0.6,0.48,1,0,0,0,0,0,0,5,8,3,6.2,1.44,5,0,0,0,0,0,0,6,8,2,6.8,0.96,6,15.69,23.195,7.505,18.692,3.6024,15.69,0,0,0,0,0,0,0,0,0,0,0,0,194,229,35,215,16.8,229,0,0,0,0,TRUE,0.158210251,0.03797046,2.514829984,0.063492913,-0.090538409,0.014236917,-0.009122729,8.383302087,18.629852,0.746191799,166,3,TRUE,0,4454.780741,3298.192683,3506.556379,3822.59067,3715.601904,0,0,0,0,0,0,0,0,0,0,0,1.521928095,7.609640474
4,40,42,2,40.8,0.96,40,44,50,6,46.4,2.88,44,91.224,95.96,4.736,93.1184,2.27328,91.224,2128,2896,768,2435.2,368.64,2128,4,6,2,4.8,0.96,4,5,5,0,5,0,5,154,175,21,166.6,10.08,175,1.33,2.16,0.83,1.662,0.3984,1.33,1,2,1,1.6,0.48,2,0,0,0,0,0,0,2,5,3,3.2,1.44,2,0,0,0,0,0,0,4,6,2,4.8,0.96,4,0,1,1,0.4,0.48,0,0,0,0,0,0,0,5,8,3,6.8,1.44,8,0,0,0,0,0,0,6,8,2,7.2,0.96,8,15.69,23.195,7.505,20.193,3.6024,23.195,0,0,0,0,0,0,0,0,0,0,0,0,194,229,35,208,16.8,194,0,0,0,0,TRUE,0.158210251,0.03797046,2.36561881,0.061888704,-0.083993464,0.013690287,0.024009104,7.596297373,20.353792,0.710783469,69,5,TRUE,0,4237.077817,3784.658856,3623.103847,3406.21444,3312.024352,0,0,0,0,0,0,0,0,0,0,0,1.521928095,7.609640474
5,40,42,2,40.8,0.96,40,44,50,6,46.4,2.88,44,91.224,95.96,4.736,93.1184,2.27328,91.224,2128,2896,768,2435.2,368.64,2128,4,6,2,4.8,0.96,4,5,5,0,5,0,5,154,175,21,166.6,10.08,175,1.33,2.16,0.83,1.662,0.3984,1.33,1,2,1,1.6,0.48,2,0,0,0,0,0,0,2,5,3,3.2,1.44,2,0,0,0,0,0,0,4,6,2,4.8,0.96,4,0,1,1,0.4,0.48,0,0,0,0,0,0,0,5,8,3,6.8,1.44,8,0,0,0,0,0,0,6,8,2,7.2,0.96,8,15.69,23.195,7.505,20.193,3.6024,23.195,0,0,0,0,0,0,0,0,0,0,0,0,194,229,35,208,16.8,194,0,0,0,0,TRUE,0.158210251,0.03797046,2.36561881,0.061888704,-0.083993464,0.013690287,0.024009104,7.596297373,20.353792,0.710783469,12,6,TRUE,0,4253.587647,3791.403724,3569.029183,3387.584781,3361.473977,0,0,0,0,0,0,0,0,0,0,0,1.521928095,7.609640474
6,40,42,2,40.8,0.96,40,44,50,6,46.4,2.88,44,91.224,95.96,4.736,93.1184,2.27328,91.224,2128,2896,768,2435.2,368.64,2128,4,6,2,4.8,0.96,4,5,5,0,5,0,5,154,175,21,166.6,10.08,175,1.33,2.16,0.83,1.662,0.3984,1.33,1,2,1,1.6,0.48,2,0,0,0,0,0,0,2,5,3,3.2,1.44,2,0,0,0,0,0,0,4,6,2,4.8,0.96,4,0,1,1,0.4,0.48,0,0,0,0,0,0,0,5,8,3,6.8,1.44,8,0,0,0,0,0,0,6,8,2,7.2,0.96,8,15.69,23.195,7.505,20.193,3.6024,23.195,0,0,0,0,0,0,0,0,0,0,0,0,194,229,35,208,16.8,194,0,0,0,0,TRUE,0.158210251,0.03797046,2.36561881,0.061888704,-0.083993464,0.013690287,0.024009104,7.596297373,20.353792,0.710783469,139,4,TRUE,0,4253.181879,3783.822203,3590.224256,3395.997499,3339.853476,0,0,0,0,0,0,0,0,0,0,0,1.521928095,7.609640474
7,40,42,2,40.8,0.96,40,44,50,6,46.4,2.88,44,91.224,95.96,4.736,93.1184,2.27328,91.224,2128,2896,768,2435.2,368.64,2128,4,6,2,4.8,0.96,4,5,5,0,5,0,5,154,175,21,166.6,10.08,175,1.33,2.16,0.83,1.662,0.3984,1.33,1,2,1,1.6,0.48,2,0,0,0,0,0,0,2,5,3,3.2,1.44,2,0,0,0,0,0,0,4,6,2,4.8,0.96,4,0,1,1,0.4,0.48,0,0,0,0,0,0,0,5,8,3,6.8,1.44,8,0,0,0,0,0,0,6,8,2,7.2,0.96,8,15.69,23.195,7.505,20.193,3.6024,23.195,0,0,0,0,0,0,0,0,0,0,0,0,194,229,35,208,16.8,194,0,0,0,0,TRUE,0.158210251,0.03797046,2.36561881,0.061888704,-0.083993464,0.013690287,0.024009104,7.596297373,20.353792,0.710783469,166,3,TRUE,0,4340.438157,3825.517695,3509.420993,3383.385153,3304.317315,0,0,0,0,0,0,0,0,0,0,0,1.521928095,7.609640474
8,40,42,2,41,1,40,44,50,6,47,3,44,91.224,95.96,4.736,93.592,2.368,91.224,2128,2896,768,2512,384,2128,4,6,2,5,1,4,5,5,0,5,0,5,154,175,21,164.5,10.5,154,1.33,2.16,0.83,1.745,0.415,1.33,1,2,1,1.5,0.5,1,0,0,0,0,0,0,2,5,3,3.5,1.5,2,0,0,0,0,0,0,4,6,2,5,1,4,0,1,1,0.5,0.5,0,0,0,0,0,0,0,5,8,3,6.5,1.5,5,0,0,0,0,0,0,6,8,2,7,1,6,15.69,23.195,7.505,19.4425,3.7525,15.69,0,0,0,0,0,0,0,0,0,0,0,0,194,229,35,211.5,17.5,194,0,0,0,0,TRUE,0.158210251,0.039552563,2.412703009,0.063973064,-0.093262213,0.009311046,0.007119426,7.97760118,19.4791095,0.728179634,65,5,TRUE,0,3980.943302,3451.217036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
9,40,42,2,40.66666667,0.888888889,40,44,50,6,46,2.666666667,44,91.224,95.96,4.736,92.80266667,2.104888889,91.224,2128,2896,768,2384,341.3333333,2128,4,6,2,4.666666667,0.888888889,4,5,5,0,5,0,5,154,175,21,168,9.333333333,175,1.33,2.16,0.83,1.606666667,0.368888889,1.33,1,2,1,1.666666667,0.444444444,2,0,0,0,0,0,0,2,5,3,3,1.333333333,2,0,0,0,0,0,0,4,6,2,4.666666667,0.888888889,4,0,1,1,0.333333333,0.444444444,0,0,0,0,0,0,0,5,8,3,7,1.333333333,8,0,0,0,0,0,0,6,8,2,7.333333333,0.888888889,8,15.69,23.195,7.505,20.69333333,3.335555556,23.195,0,0,0,0,0,0,0,0,0,0,0,0,194,229,35,205.6666667,15.55555556,194,0,0,0,0,TRUE,0.158210251,0.035157834,2.365514521,0.059055072,-0.072691102,0.020753937,0.033394366,7.375983304,20.8909615,0.701533257,65,5,TRUE,0,4277.818237,3878.818725,3625.280737,3289.737998,3398.062393,3392.119859,0,0,0,0,0,0,0,0,0,0,1.918295834,11.509775
