,MagpieData avg_dev Number,MagpieData avg_dev MendeleevNumber,MagpieData avg_dev AtomicWeight,MagpieData avg_dev MeltingT,MagpieData avg_dev Column,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData avg_dev Electronegativity,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData avg_dev NdValence,MagpieData avg_dev NValence,MagpieData avg_dev NsUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData avg_dev SpaceGroupNumber,avg ionic char,Miedema_deltaH_inter,spacegroup_num,crystal_system_int,is_centrosymmetric,sine coulomb matrix eig 0,sine coulomb matrix eig 6,sine coulomb matrix eig 7,sine coulomb matrix eig 8,sine coulomb matrix eig 9,sine coulomb matrix eig 10,sine coulomb matrix eig 11,sine coulomb matrix eig 12,sine coulomb matrix eig 13,sine coulomb matrix eig 14,sine coulomb matrix eig 15,structural complexity per atom,structural complexity per cell
0,0.96,2.88,2.27328,368.64,0.96,10.08,154,0.3984,0.48,1,1.44,0.96,0.48,1.44,5,0.96,6,3.6024,15.69,16.8,0.03797046,-0.090538409,69,5,TRUE,4312.131981,0,0,0,0,0,0,0,0,0,0,1.521928095,7.609640474
1,0.96,2.88,2.27328,368.64,0.96,10.08,154,0.3984,0.48,1,1.44,0.96,0.48,1.44,5,0.96,6,3.6024,15.69,16.8,0.03797046,-0.090538409,12,6,TRUE,4343.958346,0,0,0,0,0,0,0,0,0,0,1.521928095,7.609640474
2,0.96,2.88,2.27328,368.64,0.96,10.08,154,0.3984,0.48,1,1.44,0.96,0.48,1.44,5,0.96,6,3.6024,15.69,16.8,0.03797046,-0.090538409,139,4,TRUE,4338.522567,0,0,0,0,0,0,0,0,0,0,1.521928095,7.609640474
3,0.96,2.88,2.27328,368.64,0.96,10.08,154,0.3984,0.48,1,1.44,0.96,0.48,1.44,5,0.96,6,3.6024,15.69,16.8,0.03797046,-0.090538409,166,3,TRUE,4454.780741,0,0,0,0,0,0,0,0,0,0,1.521928095,7.609640474
4,0.96,2.88,2.27328,368.64,0.96,10.08,175,0.3984,0.48,2,1.44,0.96,0.48,1.44,8,0.96,8,3.6024,23.195,16.8,0.03797046,-0.083993464,69,5,TRUE,4237.077817,0,0,0,0,0,0,0,0,0,0,1.521928095,7.609640474
5,0.96,2.88,2.27328,368.64,0.96,10.08,175,0.3984,0.48,2,1.44,0.96,0.48,1.44,8,0.96,8,3.6024,23.195,16.8,0.03797046,-0.083993464,12,6,TRUE,4253.587647,0,0,0,0,0,0,0,0,0,0,1.521928095,7.609640474
6,0.96,2.88,2.27328,368.64,0.96,10.08,175,0.3984,0.48,2,1.44,0.96,0.48,1.44,8,0.96,8,3.6024,23.195,16.8,0.03797046,-0.083993464,139,4,TRUE,4253.181879,0,0,0,0,0,0,0,0,0,0,1.521928095,7.609640474
7,0.96,2.88,2.27328,368.64,0.96,10.08,175,0.3984,0.48,2,1.44,0.96,0.48,1.44,8,0.96,8,3.6024,23.195,16.8,0.03797046,-0.083993464,166,3,TRUE,4340.438157,0,0,0,0,0,0,0,0,0,0,1.521928095,7.609640474
8,1,3,2.368,384,1,10.5,154,0.415,0.5,1,1.5,1,0.5,1.5,5,1,6,3.7525,15.69,17.5,0.039552563,-0.093262213,65,5,TRUE,3980.943302,0,0,0,0,0,0,0,0,0,0,1,2
9,0.888888889,2.666666667,2.104888889,341.3333333,0.888888889,9.333333333,175,0.368888889,0.444444444,2,1.333333333,0.888888889,0.444444444,1.333333333,8,0.888888889,8,3.335555556,23.195,15.55555556,0.035157834,-0.072691102,65,5,TRUE,4277.818237,0,0,0,0,0,0,0,0,0,0,1.918295834,11.509775
10,0.888888889,2.666666667,2.104888889,341.3333333,0.888888889,9.333333333,175,0.368888889,0.444444444,2,1.333333333,0.888888889,0.444444444,1.333333333,8,0.888888889,8,3.335555556,23.195,15.55555556,0.035157834,-0.072691102,10,6,TRUE,4360.014279,0,0,0,0,0,0,0,0,0,0,1.918295834,11.509775
11,0.888888889,2.666666667,2.104888889,341.3333333,0.888888889,9.333333333,175,0.368888889,0.444444444,2,1.333333333,0.888888889,0.444444444,1.333333333,8,0.888888889,8,3.335555556,23.195,15.55555556,0.035157834,-0.072691102,2,7,TRUE,4368.547084,0,0,0,0,0,0,0,0,0,0,1.918295834,11.509775
