,dist from 1 clusters |APE| < 0.010,dist from 3 clusters |APE| < 0.010,dist from 5 clusters |APE| < 0.010,MagpieData mode NsValence,MagpieData mode NUnfilled,Yang delta,Miedema_deltaH_inter,mean wt CN_1,std_dev wt CN_1,mean sgl_bd CN_1,std_dev sgl_bd CN_1,mean L-shaped CN_2,std_dev L-shaped CN_2,std_dev water-like CN_2,std_dev bent 120 degrees CN_2,mean bent 150 degrees CN_2,std_dev bent 150 degrees CN_2,mean linear CN_2,std_dev linear CN_2,std_dev wt CN_5,std_dev pentagonal planar CN_5,std_dev square pyramidal CN_5,std_dev trigonal bipyramidal CN_5,mean wt CN_9,std_dev wt CN_9,mean q2 CN_9,std_dev q2 CN_9,mean q4 CN_9,std_dev q4 CN_9,mean q6 CN_9,std_dev q6 CN_9,mean wt CN_11,std_dev wt CN_11,mean q2 CN_11,std_dev q2 CN_11,mean q4 CN_11,std_dev q4 CN_11,mean q6 CN_11,std_dev q6 CN_11,mean wt CN_13,std_dev wt CN_13,mean wt CN_14,mean ordering parameter shell 2,mean ordering parameter shell 3,xrd_36,xrd_38,xrd_39,xrd_50,xrd_52,xrd_54,xrd_55,xrd_58,xrd_65,xrd_68,xrd_69,xrd_74,xrd_75,xrd_80,xrd_81,xrd_89,xrd_92,xrd_93,xrd_96,xrd_97,xrd_104,xrd_112,xrd_113,xrd_116,xrd_117,xrd_118,xrd_119,xrd_123,xrd_124,jml_rdf_13,jml_rdf_14,jml_rdf_16,jml_rdf_19,jml_rdf_20,jml_rdf_23,jml_rdf_24,jml_rdf_39,jml_rdf_42,jml_rdf_85,jml_rdf_91,jml_rdf_94,jml_rdf_98,jml_adf1_36,jml_adf1_48,jml_adf1_53,jml_adf1_82,jml_adf1_97,jml_adf1_126,jml_adf1_162,jml_adf1_165,jml_adf1_168,jml_adf2_49,jml_adf2_57,jml_adf2_61,jml_adf2_65,jml_adf2_74,jml_adf2_82,jml_adf2_97,jml_adf2_104,jml_adf2_114,jml_adf2_118,jml_adf2_134,jml_adf2_136,jml_adf2_165,jml_nn_13,jml_nn_14,jml_nn_16,jml_nn_19,jml_nn_20,jml_nn_23,jml_nn_24,jml_nn_26,jml_nn_32,jml_nn_35,jml_nn_39,jml_nn_40,jml_nn_42,jml_nn_43,jml_nn_53,jml_nn_69,crystal_system_int,is_centrosymmetric,structural complexity per atom
0,0.212132034,0.252538136,0.284357941,1,6,0.063492913,-0.090538409,0,0,0,0,0.052824233,0.064696209,0.00782276,0.000326881,5.55996E-08,6.80954E-08,1.87435E-07,2.2956E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171363794,0.118825864,0.050488097,0.047470051,0.126110876,0.105798741,8.26249E-05,0.002815103,0.016319546,0.02022444,0.002701643,0.001548718,0.03545499,0.041526727,0.0001195,1.08766E-05,0.007618396,0.011927172,0.000135331,0.010220473,0.017822412,0.006632832,0.001968001,0.001770708,2.95764E-06,4.0563E-06,0.002798,0.01034343,0.02455778,0.037447371,0.002417838,0.0004029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,TRUE,1.521928095
1,0.212132034,0.252538136,0.284357941,1,6,0.063492913,-0.090538409,0,0,0,0,0,0,0,0,0,0,0,0,0.247789793,0.102049959,0.050702452,0.08665729,0,0,0,0,0,0,0,0,0.099780761,0.122205975,4.87054E-18,5.96585E-18,0.016165506,0.019798621,0.05523296,0.067646285,0.099780761,0.122205975,0.171363794,0.06475632,0.019766972,0.047470051,0.126110876,0.105798741,8.26249E-05,0.002815103,0.016319546,0.02022444,0.002701643,0.001548718,0.03545499,0.041526727,0.0001195,1.08766E-05,0.007618396,0.011927172,0.000135331,0.010220473,0.017822412,0.006632832,0.001968001,0.001770708,2.95764E-06,4.0563E-06,0.002798,0.01034343,0.02455778,0.037447371,0.002417838,0.0004029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRUE,1.521928095
2,0.212132034,0.252538136,0.284357941,1,6,0.063492913,-0.090538409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199561522,0.099780761,0.022173502,0.011086751,0.074769005,0.037384503,0.121123975,0.060561987,0,0,0,0,0,0,0,0,0,0,0.171363794,0.121228499,0.05931808,0.047470051,0.126110876,0.105798741,8.26249E-05,0.002815103,0.016319546,0.02022444,0.002701643,0.001548718,0.03545499,0.041526727,0.0001195,1.08766E-05,0.007618396,0.011927172,0.000135331,0.010220473,0.017822412,0.006632832,0.001968001,0.001770708,2.95764E-06,4.0563E-06,0.002798,0.01034343,0.02455778,0.037447371,0.002417838,0.0004029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,TRUE,1.521928095
3,0.212132034,0.252538136,0.284357941,1,6,0.063492913,-0.090538409,0,0,0,0,3.50722E-14,7.01445E-14,7.2726E-09,1.17533E-05,0.011750415,0.02350083,0.101159759,0.202319519,0.247789793,0.122357718,0.042252043,0.099012212,0,0,0,0,0,0,0,0,0.099780761,0.122205975,6.83748E-18,8.37999E-18,0.016165506,0.019798621,0.05523296,0.067646285,0,0,0.321034935,0.051173595,0.005975943,0.047470051,0.126110876,0.105798741,8.26249E-05,0.002815103,0.016319546,0.02022444,0.002701643,0.001548718,0.03545499,0.041526727,0.0001195,1.08766E-05,0.007618396,0.011927172,0.000135331,0.010220473,0.017822412,0.006632832,0.001968001,0.001770708,2.95764E-06,4.0563E-06,0.002798,0.01034343,0.02455778,0.037447371,0.002417838,0.0004029,0,0,0,0,0,0,2.4867,2.7797,0,0,0.5031,0,0.8669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,2.4,0.8,0,0,5.6,4.8,3,TRUE,1.521928095
4,0,0.074941232,0.158827062,2,8,0.061888704,-0.083993464,0,0,0,0,0.105648466,0.052824233,0.006387256,0.000266897,1.11199E-07,5.55996E-08,3.7487E-07,1.87435E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221254175,0.285274109,0.127125112,0.110490206,0.105470256,0.047513964,0.00144637,0.014871991,0.019404114,0.010219845,6.74916E-05,0.02404893,0.027598898,0.010292983,5.01285E-05,0.000431334,0.008866124,0.003450598,0.013963175,0.009561419,0.003002059,5.01728E-06,1.30929E-05,0.00169636,0.013881298,0.029626195,0.013018648,0.003525711,0.000569884,5.49775E-05,2.73128E-11,1.99553E-13,0,0,0,0,0,0,0,0,0,5.4441,0,0,2.0446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,5,TRUE,1.521928095
5,0,0.074941232,0.158827062,2,8,0.061888704,-0.083993464,0,0,0,0,3.50722E-14,7.01445E-14,7.27261E-09,1.17533E-05,0.011750416,0.023500832,0.101159759,0.202319519,0,0,0,0,0,0,0,0,0,0,0,0,0.099780761,0.122205975,6.47039E-18,8.10759E-18,0.016165506,0.019798621,0.05523296,0.067646285,0,0,0.171363794,0.068422578,0.048516367,0.110490206,0.105470256,0.047513964,0.00144637,0.014871991,0.019404114,0.010219845,6.74916E-05,0.02404893,0.027598898,0.010292983,5.01285E-05,0.000431334,0.008866124,0.003450598,0.013963175,0.009561419,0.003002059,5.01728E-06,1.30929E-05,0.00169636,0.013881298,0.029626195,0.013018648,0.003525711,0.000569884,5.49775E-05,2.73128E-11,1.99553E-13,0,0,0,0,0,0,0,0,0,5.4441,0,0,2.0446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,6,TRUE,1.521928095
6,0,0.074941232,0.158827062,2,8,0.061888704,-0.083993464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099780761,0.122205975,0.011086751,0.013578442,0.037384503,0.045786478,0.060561987,0.074172983,0,0,0,0,0,0,0,0,0,0,0.221254175,0.05389406,0.053059035,0.110490206,0.105470256,0.047513964,0.00144637,0.014871991,0.019404114,0.010219845,6.74916E-05,0.02404893,0.027598898,0.010292983,5.01285E-05,0.000431334,0.008866124,0.003450598,0.013963175,0.009561419,0.003002059,5.01728E-06,1.30929E-05,0.00169636,0.013881298,0.029626195,0.013018648,0.003525711,0.000569884,5.49775E-05,2.73128E-11,1.99553E-13,0,0,0,0,0,0,0,0,0,5.4441,0,0,2.0446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,4,TRUE,1.521928095
7,0,0.074941232,0.158827062,2,8,0.061888704,-0.083993464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199561522,0.099780761,1.51216E-17,8.54199E-18,0.032331012,0.016165506,0.110465921,0.05523296,0,0,0.171363794,0.032651187,0.013071154,0.110490206,0.105470256,0.047513964,0.00144637,0.014871991,0.019404114,0.010219845,6.74916E-05,0.02404893,0.027598898,0.010292983,5.01285E-05,0.000431334,0.008866124,0.003450598,0.013963175,0.009561419,0.003002059,5.01728E-06,1.30929E-05,0.00169636,0.013881298,0.029626195,0.013018648,0.003525711,0.000569884,5.49775E-05,2.73128E-11,1.99553E-13,0,0,0,0,0,0,0,0,0.8503,1.3332,0,0.6701,1.1554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,2.8,0,0,0.8,0,0,0.4,3,TRUE,1.521928095
8,0.141421356,0.216362588,0.276678192,1,6,0.063973064,-0.093262213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171363794,0.085182074,0.016345469,0.076694916,0.126147496,0.078949947,0.000377819,0.007378166,0.021267964,0.017621053,0.000568353,0.007669479,0.043063461,0.029406694,5.3678E-06,2.90887E-05,0.013315839,0.010807352,0.00243893,0.019987564,0.015482328,0.000408071,0.000046708,0.005328963,0.000236011,0.001691154,0.035286607,0.037322871,0.024469117,0.009943509,2.2699E-06,8.43953E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,TRUE,1
9,0,0.043514263,0.102258519,2,8,0.059055072,-0.072691102,0,0,0,0,0.044020188,0.062253947,0.007527452,0.000314541,4.6333E-08,6.55248E-08,1.56196E-07,2.20894E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212939111,0.224901715,0.148796396,0.123985476,0.08490797,0.033015275,0.003208098,0.018908941,0.014871694,0.006197045,2.18616E-05,0.036137453,0.015496807,0.004268815,0.000320031,0.001739322,0.004326344,0.001146106,0.020155375,0.003118165,0.000611468,2.45636E-05,0.000195501,0.000317613,0.03371614,0.033036011,0.001514772,0.000198048,0.000015654,8.78201E-07,0.000947369,0.002482106,0,0,0,0,0,0,0,0,0,5.5878,6.4953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,5,TRUE,1.918295834
