,dist from 1 clusters |APE| < 0.010,dist from 3 clusters |APE| < 0.010,dist from 5 clusters |APE| < 0.010,MagpieData avg_dev Number,MagpieData avg_dev MendeleevNumber,MagpieData avg_dev AtomicWeight,MagpieData avg_dev MeltingT,MagpieData avg_dev Column,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData avg_dev Electronegativity,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData avg_dev NdValence,MagpieData avg_dev NValence,MagpieData avg_dev NsUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData avg_dev SpaceGroupNumber,avg ionic char,Miedema_deltaH_inter,mean wt CN_1,std_dev wt CN_1,mean sgl_bd CN_1,std_dev sgl_bd CN_1,mean L-shaped CN_2,std_dev L-shaped CN_2,mean water-like CN_2,std_dev water-like CN_2,std_dev bent 120 degrees CN_2,mean bent 150 degrees CN_2,mean linear CN_2,mean square co-planar CN_4,mean rectangular see-saw-like CN_4,std_dev wt CN_5,std_dev square pyramidal CN_5,std_dev trigonal bipyramidal CN_5,mean wt CN_8,mean body-centered cubic CN_8,mean wt CN_10,std_dev wt CN_10,mean q2 CN_10,std_dev q2 CN_10,mean q4 CN_10,std_dev q4 CN_10,mean q6 CN_10,std_dev q6 CN_10,mean wt CN_11,std_dev wt CN_11,mean q2 CN_11,std_dev q2 CN_11,mean q4 CN_11,std_dev q4 CN_11,mean q6 CN_11,std_dev q6 CN_11,mean wt CN_12,mean cuboctahedral CN_12,mean q4 CN_12,std_dev q4 CN_12,mean q6 CN_12,mean wt CN_13,std_dev wt CN_13,mean wt CN_14,max packing efficiency,xrd_9,xrd_17,xrd_18,xrd_19,xrd_25,xrd_27,xrd_28,xrd_29,xrd_30,xrd_31,xrd_32,xrd_33,xrd_34,xrd_35,xrd_37,xrd_38,xrd_39,xrd_42,xrd_43,xrd_44,xrd_45,xrd_47,xrd_48,xrd_54,xrd_66,xrd_67,xrd_68,xrd_75,xrd_76,xrd_78,xrd_79,xrd_80,xrd_81,xrd_90,xrd_97,xrd_98,xrd_109,xrd_110,xrd_113,xrd_114,xrd_115,xrd_119,xrd_120,xrd_125,xrd_126,xrd_127,OFM: s^2 - s^1,OFM: s^2 - d^5,OFM: d^2 - s^1,OFM: d^2 - d^5,jml_rdf_5,jml_rdf_10,jml_rdf_12,jml_rdf_13,jml_rdf_14,jml_rdf_15,jml_rdf_20,jml_rdf_21,jml_rdf_30,jml_rdf_49,jml_rdf_50,jml_rdf_59,jml_rdf_65,jml_rdf_77,jml_rdf_80,jml_rdf_82,jml_adf1_8,jml_adf1_30,jml_adf1_37,jml_adf1_40,jml_adf1_41,jml_adf1_45,jml_adf1_58,jml_adf1_60,jml_adf1_65,jml_adf1_66,jml_adf1_70,jml_adf1_71,jml_adf1_72,jml_adf1_77,jml_adf1_78,jml_adf1_83,jml_adf1_90,jml_adf1_94,jml_adf1_103,jml_adf1_107,jml_adf1_108,jml_adf1_109,jml_adf1_110,jml_adf1_111,jml_adf1_119,jml_adf1_120,jml_adf1_121,jml_adf1_135,jml_adf1_140,jml_adf1_142,jml_adf1_159,jml_adf1_160,jml_adf1_172,jml_adf1_179,jml_adf2_22,jml_adf2_23,jml_adf2_30,jml_adf2_32,jml_adf2_33,jml_adf2_34,jml_adf2_37,jml_adf2_38,jml_adf2_39,jml_adf2_40,jml_adf2_47,jml_adf2_51,jml_adf2_58,jml_adf2_60,jml_adf2_61,jml_adf2_64,jml_adf2_65,jml_adf2_71,jml_adf2_75,jml_adf2_78,jml_adf2_81,jml_adf2_85,jml_adf2_88,jml_adf2_90,jml_adf2_91,jml_adf2_103,jml_adf2_105,jml_adf2_107,jml_adf2_108,jml_adf2_111,jml_adf2_118,jml_adf2_119,jml_adf2_121,jml_adf2_128,jml_adf2_132,jml_adf2_137,jml_adf2_139,jml_adf2_142,jml_adf2_145,jml_adf2_147,jml_adf2_149,jml_adf2_151,jml_adf2_153,jml_adf2_158,jml_adf2_160,jml_adf2_162,jml_adf2_163,jml_adf2_172,jml_adf2_176,jml_adf2_178,jml_ddf_40,jml_ddf_44,jml_ddf_48,jml_ddf_64,jml_ddf_85,jml_ddf_94,jml_ddf_116,jml_ddf_120,jml_ddf_139,jml_nn_5,jml_nn_12,jml_nn_19,jml_nn_20,jml_nn_23,jml_nn_30,jml_nn_75,jml_nn_82,jml_nn_90,density,vpa,packing fraction,spacegroup_num,crystal_system_int,is_centrosymmetric,sine coulomb matrix eig 0,sine coulomb matrix eig 6,sine coulomb matrix eig 7,sine coulomb matrix eig 8,sine coulomb matrix eig 9,sine coulomb matrix eig 10,sine coulomb matrix eig 11,sine coulomb matrix eig 12,sine coulomb matrix eig 13,sine coulomb matrix eig 14,sine coulomb matrix eig 15,structural complexity per atom,structural complexity per cell
0,0.212132034,0.252538136,0.284357941,0.96,2.88,2.27328,368.64,0.96,10.08,154,0.3984,0.48,1,1.44,0.96,0.48,1.44,5,0.96,6,3.6024,15.69,16.8,0.03797046,-0.090538409,0.00018482,0.000195858,0.00018482,0.000195858,0.028896966,0.029216034,0.003136736,0.003083093,0.000112488,9.87332E-06,8.49043E-05,0.193480496,0.216887366,0,0,0,0.071020287,0.070004852,0.074583888,0.067352057,0.007550326,0.006481675,0.019475962,0.017617763,0.042990864,0.038816896,0,0,0,0,0,0,0,0,0.119068147,0.119068147,0.015665106,0.007892079,0.065941769,0,0,0.177162188,0.592954916,0.000307707,0.000544818,0.000233279,6.46681E-05,3.18103E-12,3.07947E-12,2.13023E-10,9.56758E-09,2.79622E-07,5.34067E-06,6.71705E-05,0.000563476,0.003214959,0.012793714,0.07465054,0.109926689,0.113954102,0.013105446,0.002909642,0.000434169,4.34279E-05,1.31592E-07,9.01456E-08,0.011010706,0.006177215,0.013664811,0.021517609,0.000700171,0.000281054,0.001474052,0.002368081,0.003234385,0.004931748,0.000899324,0.011014716,0.006286186,0.001098751,0.001997708,0.001771694,0.002391697,0.004442858,0.009629453,0.011009326,0.014320427,0.011748151,0.007373051,0.342628614,0.342628614,0.342628614,0.342628614,0,0,0,0,0,0,0,0,6.5793,1.2171,0,1.6732,0,0.3914,0.5436,1.2069,0,0,0,0,0,0,0,0,0,0,1.333333333,10.66666667,0,0,1,0,0,0,0,0,10.66666667,2,6,2,0,0,0,0,0,0,0,0,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.66666667,0,1,0,0,0,0,0,0,0,0,10.66666667,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8.8,5.6,0,8.681747513,17.98942862,0.772756215,69,5,TRUE,4332.748093,0,0,0,0,0,0,0,0,0,0,1.521928095,7.609640474
1,0.212132034,0.252538136,0.284357941,0.96,2.88,2.27328,368.64,0.96,10.08,154,0.3984,0.48,1,1.44,0.96,0.48,1.44,5,0.96,6,3.6024,15.69,16.8,0.03797046,-0.090538409,0.002907134,0.003473079,0.002907134,0.003473079,0.001695617,0.001534283,0.004701554,0.004319206,0.002856831,6.20361E-05,3.17082E-05,0.056820424,0.059423001,0.230129567,0.060921564,0.093310111,0.021401075,0.001302642,0.001707808,0.003415616,0.000332636,0.000665271,0.000496933,0.000993865,0.001029608,0.002059216,0.099559052,0.120940494,0.00171381,0.002072065,0.016092902,0.019544014,0.054367831,0.066043098,0.051871815,0.051871815,0.007315044,0.013018734,0.02895895,0.081215817,0.098435101,0.135967103,0.61017656,3.03769E-06,8.714E-06,1.10467E-06,8.59426E-08,2.89023E-07,1.8861E-05,7.32515E-05,0.000174595,0.000255478,0.000231871,0.000171057,0.000523779,0.00328871,0.014366853,0.079959148,0.109314559,0.10960443,0.01614936,0.003976135,0.00063535,6.484E-05,1.69127E-07,1.39534E-08,0.010665735,0.010779083,0.014701011,0.016442341,0.001405993,0.000448496,0.002188733,0.004050353,0.005647624,0.00613056,0.000788191,0.010105608,0.007904133,0.001464407,0.001788127,0.006222056,0.00753904,0.00840061,0.003450361,0.003081898,0.010013171,0.006040922,0.002809741,0.456280509,0.456280509,0.456280509,0.456280509,0,0,0,0,0,0,0,0,3.9478,1.9475,0.2337,0,0,0.8806,1.1778,1.0345,0,0,0,0,0,0,0,0,0,0,9,3,6,0,0,0,0,0,0,4.333333333,2,6,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1.333333333,3,0,0,0,0,3,0,0,0,0,3,8,4,0,0,4.333333333,2,0,0,2,1,3.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,4,6,11,1,1,10,35.3,3,0,0,0,0,0,2.4,5.6,4.8,2,8.681384597,17.99018065,0.772723912,12,6,TRUE,4357.685839,0,0,0,0,0,0,0,0,0,0,1.521928095,7.609640474
2,0.212132034,0.252538136,0.284357941,0.96,2.88,2.27328,368.64,0.96,10.08,154,0.3984,0.48,1,1.44,0.96,0.48,1.44,5,0.96,6,3.6024,15.69,16.8,0.03797046,-0.090538409,3.0364E-05,1.5182E-05,3.0364E-05,1.5182E-05,2.63191E-18,5.26383E-18,2.72875E-13,5.45749E-13,8.81979E-10,8.81755E-07,7.59099E-06,0.024078255,0.006972582,0.00030366,6.71622E-05,0.000102153,0.406100731,0.396910128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016697908,0.016697908,0.002426205,0.00485241,0.009401282,0.053544076,0.02716136,0.122286441,0.63539281,1.57006E-17,2.38752E-05,0.000112408,0.000342593,2.96964E-05,3.1476E-06,1.80043E-05,7.63012E-05,0.000209628,0.000373498,0.000444181,0.000515058,0.00180071,0.009105672,0.076706321,0.118529348,0.12039879,0.010314014,0.001976289,0.000249457,2.07148E-05,9.0438E-08,1.00026E-06,0.01137154,0.00266936,0.008915701,0.020624991,0.000170488,1.89568E-05,0.000208766,0.001012573,0.003237322,0.006920771,0.000827895,0.011542266,0.006711978,0.003970309,0.001978154,1.87226E-05,1.05064E-05,8.53989E-05,0.011255744,0.016476017,0.009495256,0.003468672,0.000851547,0.549100918,0.549100918,0.549100918,0.549100918,0,0,0,0,0,0,0,0,5.2762,1.9521,0,1.3418,0,0,1.0898,2.074,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,10.66666667,0,2,2.666666667,8,0,8,8,0,0,4,0,0,0,0,0,4,5.211111111,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,8,0,2,0,2.666666667,8,8,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,22,1,1,8,38,0,0,0,0,0,0,3.2,3.2,9.6,0,8.66084553,18.03284409,0.770895744,139,4,TRUE,4343.868923,0,0,0,0,0,0,0,0,0,0,1.521928095,7.609640474
3,0.212132034,0.252538136,0.284357941,0.96,2.88,2.27328,368.64,0.96,10.08,154,0.3984,0.48,1,1.44,0.96,0.48,1.44,5,0.96,6,3.6024,15.69,16.8,0.03797046,-0.090538409,0.011298273,0.005649137,0.011298273,0.005649137,0.000745355,0.000372678,0.00103876,0.001162331,0.000750543,0.011034621,0.094898722,0.027643221,0.004600468,0.210116357,0.047586554,0.100147558,0.044089441,0.029065109,0.000693474,0.001386947,0.000151412,0.000302823,0.000226274,0.000452549,0.000351962,0.000703923,0.110212621,0.094335114,0.000763119,0.000622812,0.01777444,0.015282231,0.060517771,0.051969433,0.0004887,0.000488692,4.8154E-05,5.89763E-05,0.000261065,0.000506666,0.000620536,0.295813426,0.633248204,5.87615E-82,2.12154E-44,1.56183E-40,7.5303E-37,1.31751E-18,5.41797E-14,5.83895E-12,4.1303E-10,1.9183E-08,5.85179E-07,1.17285E-05,0.000154497,0.001338021,0.007620764,0.070385189,0.114180985,0.121905334,0.012056958,0.00241447,0.000318078,2.75589E-05,6.01614E-08,4.85335E-08,0.010188778,0.00165842,0.00675568,0.018231349,0.000236257,2.68133E-05,0.000108229,0.000610745,0.002303346,0.005830902,3.96774E-05,0.011170925,0.004970366,0.004110766,0.00278458,0.000158731,3.11585E-05,7.17806E-06,0.00638226,0.015743381,0.010083307,0.003949511,0.00110578,0.491292892,0.491292892,0.491292892,0.491292892,0,0,0,0,0,0,0,0,2.4965,0.4618,0,0.1587,0.3917,0.3713,1.0313,0.8178,0,0,0,0,0,0,0,0,2,2,6,4,0,0,0,0,0,0,0,0,6,4,0,2,0,0,0,0,0,0,0,0,0,3,0,0,2,2,6,12,4,0,0,0,0,0,3,4,1.333333333,0,2,4,0,0,0,2,2,10.66666667,2,0,0,0,6,2,3,10,2,0,0,2,0,2,8.666666667,2,4,0,0,0,0,0,0,0,5,4,0,0,2,8,4,8,16,26,0,0,0,0,0,0,1.6,1.6,4,0.4,8.741949016,17.86554427,0.778114709,166,3,TRUE,4462.500291,0,0,0,0,0,0,0,0,0,0,1.521928095,7.609640474
4,0,0.074941232,0.158827062,0.96,2.88,2.27328,368.64,0.96,10.08,175,0.3984,0.48,2,1.44,0.96,0.48,1.44,8,0.96,8,3.6024,23.195,16.8,0.03797046,-0.083993464,0,0,0,0,0.089578691,0.050264129,0.010440105,0.005858121,0.000236121,8.23182E-08,2.98044E-07,0.074862488,0.079503416,0,0,0,0.046199585,0.040483768,0.190897204,0.13948042,0.024134927,0.018065092,0.055164999,0.047544627,0.112019613,0.086536088,0,0,0,0,0,0,0,0,0.067148128,0.067148128,0.008521879,0.008121394,0.036197097,0,0,0.146201653,0.557595786,0.006422359,2.85397E-12,2.54206E-14,2.21366E-13,9.99967E-05,0.001858774,0.003989227,0.005378221,0.004565481,0.00254801,0.001700846,0.004601525,0.015644875,0.039617161,0.099756284,0.096511548,0.064453709,0.009214246,0.007956163,0.006281426,0.004785599,0.003334944,0.002425169,0.006520054,0.019488883,0.019990794,0.018275978,0.005404466,0.005232659,0.003395077,0.004323173,0.006683268,0.008189505,0.002394987,0.007792083,0.005586531,0.003366385,0.00524017,0.006806721,0.006649944,0.005372539,0.006619779,0.008423058,0.0034038,0.004501453,0.00425112,0.157161841,0.157161841,0.157161841,0.157161841,0,0,0,0,0,0,0,0,7.2421,0,3.344,0,1.0605,1.077,0.3989,1.7081,0,0,0,0,0,0,0,0,0,2,0,4,0,0,1,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,2.966666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6.4,7.2,7.2,7.808146623,19.80155652,0.730606146,69,5,TRUE,4277.823528,0,0,0,0,0,0,0,0,0,0,1.521928095,7.609640474
5,0,0.074941232,0.158827062,0.96,2.88,2.27328,368.64,0.96,10.08,175,0.3984,0.48,2,1.44,0.96,0.48,1.44,8,0.96,8,3.6024,23.195,16.8,0.03797046,-0.083993464,0.075441943,0.037720971,0.075441943,0.037720971,0.000748045,0.000374023,0.000947344,0.001042163,0.00061915,0.013213788,0.113684299,0.054149215,0.043838573,0.004815252,0.001365245,0.002064322,0.038721709,0.022854936,0.000744619,0.001489237,0.000129926,0.000259853,0.000219685,0.00043937,0.000449869,0.000899739,0.096305725,0.061636916,0.004475918,0.002249463,0.015354861,0.009996188,0.05095439,0.033299726,0.032660711,0.032660711,0.005840187,0.011125297,0.018564719,0.088211119,0.093754443,0.06562222,0.552661693,0.00010978,3.98126E-05,3.91372E-06,2.3637E-07,0.000288036,0.001150742,0.001164948,0.000903671,0.000797549,0.000948002,0.002064081,0.00773932,0.023660298,0.049231425,0.090261508,0.092012152,0.07501198,0.008507718,0.002369533,0.000474927,7.62308E-05,0.000635107,0.002332848,0.006600761,0.01566196,0.015521633,0.015895624,0.005072297,0.004701866,0.002278238,0.00287964,0.004944717,0.006378248,0.001194402,0.009061293,0.006472934,0.003436199,0.004616671,0.005239588,0.005978423,0.006194032,0.002152,0.004963482,0.006967468,0.004717171,0.002477206,0.340645027,0.340645027,0.340645027,0.340645027,0,0,0,0,0,0,0,0,1.4444,0.5344,1.0261,1.102,0,0.8592,0.3978,0.4732,0,0,0,0,0,0,0,0,0,6,2,0,0,1.333333333,0,1,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,2,5.666666667,2,0,0,0,0,2,0,0,4,5.333333333,0,10,0,5,1,0,0,3,0,4,2,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,18.5,15,12,30.2,14,23,27.6,49.4,10.5,0,0,0,0,0,0.8,4.8,2,2.4,7.829694211,19.74706196,0.732622348,2,7,TRUE,4288.419377,0,0,0,0,0,0,0,0,0,0,1.521928095,7.609640474
6,0,0.074941232,0.158827062,0.96,2.88,2.27328,368.64,0.96,10.08,175,0.3984,0.48,2,1.44,0.96,0.48,1.44,8,0.96,8,3.6024,23.195,16.8,0.03797046,-0.083993464,0,0,0,0,0.000144437,7.22185E-05,0.000238841,0.00011942,5.10059E-05,1.00619E-06,2.14253E-07,0.064557918,0.023399201,0.022853359,0.003828496,0.003074964,0.085404199,0.076195755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174556424,0.174556424,0.033214955,0.06642991,0.100277554,0.190968262,0.113024706,0.025709121,0.640288619,0.008675339,0.000218132,0.000364892,0.000392484,1.02715E-06,8.46525E-05,0.000407667,0.001262551,0.002520209,0.003321277,0.003596641,0.006925786,0.021195325,0.050425112,0.088318266,0.075047896,0.05798344,0.012881072,0.008437236,0.00671931,0.004897492,0.004935425,0.005314735,0.003727532,0.003915317,0.006274276,0.01455476,0.003347949,0.003950635,0.004721631,0.003190915,0.001806994,0.00143014,0.000171392,0.012514278,0.01088997,0.003687982,0.002771079,0.00078643,0.000588062,0.001114484,0.006178022,0.006676264,0.01217424,0.007577681,0.003291582,0.265853557,0.265853557,0.265853557,0.265853557,0,0,0,0,0,0,0,0,5.8125,0,0,0,1.52,1.0805,2.4012,0,0,0,0,0,0,0,2,0,0,4,2,2,0,0,0,0,4,0,0,0,0,8,0,0,0,12,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,6.4,0,3.2,7.782864914,19.86587952,0.728240543,139,4,TRUE,4269.151508,0,0,0,0,0,0,0,0,0,0,1.521928095,7.609640474
7,0,0.074941232,0.158827062,0.96,2.88,2.27328,368.64,0.96,10.08,175,0.3984,0.48,2,1.44,0.96,0.48,1.44,8,0.96,8,3.6024,23.195,16.8,0.03797046,-0.083993464,0,0,0,0,8.2221E-06,4.11105E-06,5.85755E-05,2.92877E-05,4.08663E-05,9.7592E-06,4.01478E-05,0.066008915,0.0257883,0.000768063,0.000206081,0.00030798,0.163599311,0.141710717,0.000490877,0.000601199,4.5681E-05,5.59475E-05,6.19473E-05,7.58696E-05,0.000244308,0.000299215,0.157569106,0.100738043,0.001484676,0.001201197,0.023526418,0.015569568,0.08134692,0.052903717,0,0,0,0,0,0.001011009,0.000505551,0.161959386,0.567665067,2.88968E-23,5.47363E-07,5.93495E-06,3.85868E-05,6.3108E-05,3.11717E-06,2.33464E-05,0.000173145,0.000772773,0.002072494,0.003415928,0.004341657,0.00993914,0.035058622,0.135861569,0.125799341,0.069959679,0.000562073,4.05116E-05,1.77145E-06,4.36951E-07,3.16252E-05,0.000136066,0.024310721,0.024236554,0.038764379,0.038285931,0.001376931,0.00108956,0.005413807,0.009748978,0.010610565,0.006928744,0.008599867,0.002629918,0.003475611,0.001405834,0.001970383,0.003409571,0.010530306,0.021025253,0.002435829,0.00075789,0.00287689,0.00099186,0.00020507,0.408139449,0.408139449,0.408139449,0.408139449,0,0,0,0,0,0,0,0,2.063,1.2721,0.2443,1.0493,0,1.2272,1.7045,1.712,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,4,4,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,9.2,7.6,5.6,7.838950631,19.72374416,0.733488468,166,3,TRUE,4353.178332,0,0,0,0,0,0,0,0,0,0,1.521928095,7.609640474
8,0.141421356,0.216362588,0.276678192,1,3,2.368,384,1,10.5,154,0.415,0.5,1,1.5,1,0.5,1.5,5,1,6,3.7525,15.69,17.5,0.039552563,-0.093262213,0,0,0,0,0,0,0,0,0,0,0,0.304098527,0.318457576,0,0,0,0.01699852,0.016853051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21897475,0.21897475,0.030884506,6.93889E-18,0.121862852,0,0,0.149892872,0.621488162,1.59741E-80,1.80162E-41,1.57286E-37,8.48622E-34,8.54802E-16,1.82403E-11,1.29502E-09,5.68661E-08,1.5461E-06,2.60961E-05,0.000275175,0.001839171,0.008033267,0.024195647,0.089883462,0.111542785,0.098933152,0.01012634,0.002516029,0.00042382,4.62853E-05,1.40206E-07,1.05816E-07,0.016052536,0.018172621,0.02272024,0.020558739,0.00153296,0.002031044,0.00266002,0.002696255,0.004693033,0.008000924,0.003575392,0.004536552,0.002988035,0.001104314,0.003282922,0.008020958,0.006580449,0.007623826,0.004847688,0.003101731,0.00746033,0.003101732,0.000839502,0.479145999,0.479145999,0.479145999,0.479145999,0,0,0,0,0,0,0,0,6.7875,0,1.2054,0,0,0,1.8693,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,4.40821256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,1,0,1,2,2,1,0,0,0,0,0,4,16,0,4,8.37324788,18.5586966,0.764293481,65,5,TRUE,3447.059342,0,0,0,0,0,0,0,0,0,0,1,2
9,0,0.043514263,0.102258519,0.888888889,2.666666667,2.104888889,341.3333333,0.888888889,9.333333333,175,0.368888889,0.444444444,2,1.333333333,0.888888889,0.444444444,1.333333333,8,0.888888889,8,3.335555556,23.195,15.55555556,0.035157834,-0.072691102,0,0,0,0,0.116332697,0.15530328,0.020788136,0.027752005,0.001686118,5.02095E-07,8.59878E-07,0.184340955,0.182197754,0,0,0,0.054124772,0.042895504,0.112533974,0.138045137,0.015549169,0.019713452,0.032548197,0.042457096,0.066483042,0.084022431,0,0,0,0,0,0,0,0,0.119216105,0.119216105,0.017097517,0.011216758,0.065346169,0,0,0.139528749,0.560163207,0.001067526,3.35184E-06,2.05189E-07,3.22716E-08,0.000962609,0.00037629,0.000153429,0.000317889,0.00099036,0.002076468,0.004142885,0.01108763,0.027519941,0.053175208,0.117082587,0.107415925,0.06218559,0.005524179,0.003404955,0.00303636,0.003043315,0.001499077,0.001150142,0.014597762,0.019201969,0.018931718,0.018828056,0.006794007,0.004705868,0.003523067,0.006002156,0.006623274,0.004323882,0.004256886,0.002931383,0.003355737,0.003451612,0.003723704,0.005964146,0.007359208,0.008715705,0.003605465,0.002280851,0.001429414,0.002633193,0.00277381,0.312472919,0.312472919,0.312472919,0.312472919,0,0,0,0,0,0,0,0,0,0.4548,0,1.8755,0,1.4623,1.0155,0.6442,0,0,0,0,0,0,0,0,0,2,9.333333333,0,0,0,0,0,0,0,0,0,0,9.333333333,4,0,0,0,0,0,0,0,0,0,0,3.660130719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2.666666667,2.666666667,7.641768946,20.16436041,0.726812255,65,5,TRUE,4313.98044,0,0,0,0,0,0,0,0,0,0,1.918295834,11.509775
