,Cluster 1,Cluster 2,Cluster 3,Cluster 7,Cluster 10,Cluster 24,Cluster 43,Cluster 44,Cluster 47,Cluster 49,Cluster 51,Cluster 53,Cluster 54,Cluster 55,Cluster 56,Cluster 61,Cluster 64,Cluster 65,Cluster 66,Cluster 69,Cluster 72,Cluster 84,mean wt CN_1,mean bent 150 degrees CN_2,std_dev square pyramidal CN_5,mean wt CN_9,mean wt CN_11,std_dev wt CN_11,std_dev q2 CN_11,mean wt CN_13,std_dev wt CN_13,mean ordering parameter shell 2,xrd_36,xrd_97,xrd_112,xrd_117,xrd_123,jml_adf1_48,jml_adf1_82
0,0.391139001,-0.700044264,-1.442600804,-0.095747508,0.370664202,-0.127865549,-0.901641507,-0.878073408,-0.095516209,-0.026505779,0.646626047,-0.004424082,1.168065575,0.588953442,0.969597072,-0.48735121,0.648513339,-0.074797646,0.675918614,-0.242554579,-0.350946434,-0.016116292,-0.332539431,-0.46069735,-0.525270416,-0.547949578,-0.738161908,-0.809233089,-0.433558928,-0.427986448,-0.476452662,0.130871601,-0.723461079,-0.386511133,-0.706910112,0.073955859,-0.385768291,-0.09912279,-0.104541675
1,-0.300284054,-1.482711819,-0.502366076,-0.92884737,-0.713377199,-1.019760617,-0.463418947,-0.878073408,0.316352112,-0.616972686,0.09535499,-0.566032545,0.243877902,-0.187814106,-0.425574446,-0.48735121,-0.266864429,-0.288230537,-0.087787498,-0.242554579,0.266519951,-0.221885838,-0.332539431,-0.460704997,2.402629651,-0.547949578,0.886733612,1.170592675,-0.433558928,2.696158399,2.273337294,-0.509781619,-0.723461079,-0.386511133,-0.706910112,0.073955859,-0.385768291,-0.09912279,-0.104541675
2,-2.374553218,1.647958426,0.907986008,-0.651147427,-0.713377199,-0.722462273,0.851248733,1.615129539,-0.095516209,-0.813794992,-0.823430101,1.118792845,-0.680309771,-0.964581665,0.132494158,-0.076326536,-0.816091091,-0.928529195,-0.851493622,0.422583897,-0.762590687,-0.839194462,-0.332539431,-0.460704997,-0.525270416,2.689471395,-0.738161908,-0.809233089,-0.433558928,-0.427986448,-0.476452662,0.159339674,-0.723461079,-0.386511133,-0.706910112,0.073955859,-0.385768291,-0.09912279,-0.104541675
3,-0.300284054,-2.265379387,1.378103365,0.459652395,0.370664202,0.466731157,1.289471293,-0.878073408,0.316352112,-0.813794992,-0.272159044,-1.127641009,-0.680309771,-0.382005998,-0.983643058,0.951235126,-0.816091091,0.99236678,-0.278714032,-0.907693065,-0.145124302,-0.221885838,-0.332539431,1.15546738,1.914646306,-0.547949578,0.886733612,1.170592675,-0.433558928,-0.427986448,-0.476452662,-0.670719114,-0.723461079,-0.386511133,-0.706910112,0.073955859,-0.385768291,-0.09912279,-0.104541675
4,1.773985111,0.865290871,-0.032248719,-0.651147427,-1.255397891,-0.722462273,-0.025196387,0.680178435,-0.095516209,1.154428034,0.646626047,0.369981557,1.168065575,0.200569668,-0.425574446,-0.898375872,0.282362234,0.352068122,-0.469640566,-1.572831551,0.060697831,-0.016116292,-0.332539431,-0.460689702,-0.525270416,-0.547949578,-0.738161908,-0.809233089,-0.433558928,-0.427986448,-0.476452662,2.103065126,0.702448939,-0.734647135,0.426111407,-0.398248657,-0.631813341,-0.09912279,-0.104541675
5,0.391139001,-0.700044264,-0.972483447,0.181952435,-0.17135649,0.169432795,-1.339864067,-1.189723773,-1.331121185,-1.010617299,-0.639673078,-1.314843834,-0.218215934,-1.352965438,-1.54171167,-0.692863535,-0.266864429,-0.288230537,-0.851493622,-0.907693065,-0.350946434,-0.427655383,-0.332539431,1.155467578,-0.525270416,-0.547949578,0.886733612,1.170592675,-0.433558928,-0.427986448,-0.476452662,-0.46634127,0.702448939,-0.734647135,0.426111407,-0.398248657,-0.631813341,-0.09912279,-0.104541675
6,0.391139001,0.865290871,-0.972483447,-1.761947233,1.454705603,-1.911655686,-0.901641507,0.368528061,-0.919252864,-0.026505779,-1.55845818,-1.127641009,-0.680309771,0.588953442,-1.54171167,-2.542474534,-2.280695521,-1.782260744,-3.142611981,0.422583897,0.060697831,-0.839194462,-0.332539431,-0.460704997,-0.525270416,1.070760909,-0.738161908,-0.809233089,-0.433558928,-0.427986448,-0.476452662,-0.638485163,0.702448939,-0.734647135,0.426111407,-0.398248657,-0.631813341,-0.09912279,-0.104541675
7,-1.683130164,0.082623304,-0.032248719,-0.373447468,1.996726296,-0.425163911,-0.025196387,0.056877696,0.316352112,-0.813794992,-0.823430101,-0.566032545,-2.06659128,-2.712308664,-1.820745972,-0.281838873,-1.914544417,-0.928529195,-0.278714032,-2.903108512,-1.380057072,-1.456503085,-0.332539431,-0.460704997,-0.525270416,-0.547949578,2.511629133,0.807287879,-0.433558928,-0.427986448,-0.476452662,-0.890185367,0.702448939,-0.734647135,0.426111407,-0.398248657,-0.631813341,-0.09912279,-0.104541675
8,-0.300284054,-1.482711819,-1.912718161,-0.373447468,-0.442366844,-0.425163911,-1.778086628,-1.813024512,-1.125187031,-1.010617299,0.830383069,-0.378829721,0.705971738,0.783145334,2.364768599,-1.10388821,0.831588897,-1.141962086,0.866845148,-0.242554579,-0.96841282,-1.044964007,-0.332539431,-0.460704997,-0.525270416,-0.547949578,-0.738161908,-0.809233089,-0.433558928,-0.427986448,-0.476452662,-0.267763214,-0.062211856,-0.728660848,-0.687883733,1.942588902,-0.631582353,-0.09912279,-0.104541675
9,0.8520877,-0.178265882,-0.737424762,0.089385793,0.009317074,-0.425163911,-1.047715697,-0.514481311,-1.125187031,-0.026505779,0.830383069,-0.066825027,0.705971738,0.459492184,1.202125661,-0.761367652,0.831588897,-0.430519126,0.230423376,-0.796836652,-0.282339053,-0.359065531,-0.332539431,-0.460698624,-0.525270416,-0.547949578,-0.738161908,-0.809233089,-0.433558928,-0.427986448,-0.476452662,1.387731387,1.007796331,-0.702163389,2.045419117,-0.628727171,-0.53540677,-0.09912279,-0.104541675
10,0.27590183,-0.830488856,-0.737424762,-0.373447468,-0.216524885,0.565830617,-1.047715697,-1.55331587,-0.438739817,-0.682580126,0.217859668,-0.690834425,0.320893538,-0.187814106,0.969597072,-1.10388821,0.221337044,-0.786240606,-0.087787498,-0.796836652,-0.453857494,-0.702014769,-0.332539431,1.342051795,2.073280248,-0.547949578,-0.738161908,-0.809233089,-0.433558928,2.175467591,2.169533956,-0.520087197,1.007796331,-0.702163389,2.045419117,-0.628727171,-0.53540677,-0.09912279,-0.104541675
11,0.27590183,-0.830488856,-1.129189233,0.089385793,0.235159033,-0.177415279,-1.778086628,-1.813024512,-1.125187031,-0.846598712,0.524121369,-0.378829721,0.705971738,0.297665608,1.202125661,-1.10388821,0.526462971,-0.786240606,0.548634262,-0.242554579,-0.796894378,-0.702014769,-0.332539431,2.232915918,2.292102738,-0.547949578,0.615917692,1.095855141,2.487139056,2.175467591,2.169533956,-0.371396283,1.007796331,-0.702163389,2.045419117,-0.628727171,-0.53540677,-0.09912279,-0.104541675
12,-1.452655807,1.778403019,1.22139758,-1.761947233,-1.797418584,-1.911655686,1.143397104,1.822896448,-1.468410625,-0.682580126,-1.925972214,1.493198483,-1.604497443,-0.835120407,0.969597072,-1.446408755,-1.914544417,-1.497683552,-1.997052802,1.974573694,-1.311449691,-2.073811709,-0.332539431,-0.460704997,-0.525270416,0.800975828,-0.738161908,-0.809233089,-0.433558928,-0.427986448,-0.476452662,0.86658649,1.007796331,-0.702163389,2.045419117,-0.628727171,-0.53540677,-0.09912279,-0.104541675
13,-0.300284054,-0.178265882,-1.129189233,0.552219053,-0.442366844,0.070333353,-1.778086628,-0.774189953,-0.781963424,-0.682580126,-0.088402022,-1.002839129,-0.064184653,0.459492184,0.969597072,-0.418847094,-0.083788871,-1.141962086,-0.087787498,0.034586448,-0.96841282,-1.044964007,-0.332539431,-0.460698624,-0.525270416,-0.547949578,0.615917692,1.095855141,2.487139046,-0.427986448,-0.476452662,-0.482446631,1.007796331,-0.702163389,2.045419117,-0.628727171,-0.53540677,-0.09912279,-0.104541675
14,-1.452655807,1.126180056,0.829633109,-1.761947233,-1.797418584,-1.911655686,1.143397104,1.303479164,-1.811634232,-1.33865446,-1.007187124,1.805203188,-0.834341053,-1.482426696,1.202125661,-1.788929314,-0.999166649,-1.853405032,-1.042420156,1.420291621,-1.654486574,-1.044964007,-0.332539431,-0.460704997,-0.525270416,-0.547949578,-0.738161908,-0.809233089,-0.433558928,-0.427986448,-0.476452662,0.866586497,1.007796331,-0.702163389,2.045419117,-0.628727171,-0.53540677,-0.09912279,-0.104541675
15,-0.300284054,-0.830488856,-0.737424762,-0.373447468,0.009317074,0.070333353,-1.047715697,-1.55331587,-0.438739817,-1.010617299,0.064728829,-0.690834425,0.320893538,-0.187814106,0.969597072,-1.446408755,0.068774092,-1.497683552,0.389528819,-0.796836652,-0.625375936,-0.873489388,-0.332539431,0.886105648,-0.525270416,-0.547949578,-0.738161908,-0.809233089,-0.433558928,2.175467591,2.169533956,-0.520087191,1.007796331,-0.702163389,2.045419117,-0.628727171,-0.53540677,-0.09912279,-0.104541675
16,-1.452655807,0.473957081,1.613162051,-1.761947233,-1.797418584,-1.911655686,1.508582573,1.303479164,-1.125187031,-1.994728806,-1.466579663,1.493198483,-1.219419243,-2.129732997,0.969597072,-1.10388821,-1.456855527,-1.141962086,-1.519736473,1.420291621,-0.96841282,-1.559387852,-0.332539431,-0.460704997,1.822540492,-0.547949578,0.615917692,1.095855141,-0.433558839,-0.427986448,-0.476452662,0.866586488,1.007796331,-0.702163389,2.045419117,-0.628727171,-0.53540677,-0.09912279,-0.104541675
17,-0.300284054,-0.830488856,-0.345660291,0.552219053,-0.442366844,0.070333353,-0.317344758,-1.293607228,-0.781963424,-1.33865446,-0.088402022,-1.002839129,-0.064184653,0.459492184,0.969597072,-0.076326536,-0.083788871,-0.430519126,-0.087787498,0.311727484,-0.96841282,-1.387913233,-0.332539431,-0.004758589,-0.525270416,-0.547949578,-0.738161908,-0.809233089,-0.433558928,2.175467591,2.169533956,-0.520087191,1.007796331,-0.702163389,2.045419117,-0.628727171,-0.53540677,-0.09912279,-0.104541675
18,-0.300284054,-0.178265882,-0.737424762,0.089385793,0.461000993,0.070333353,-1.047715697,-0.514481311,-1.125187031,-1.010617299,0.217859668,-0.066825027,0.705971738,0.135839033,1.202125661,-0.418847094,0.221337044,-1.141962086,0.866845148,-0.796836652,-1.311449691,-1.044964007,-0.332539431,-0.460704997,-0.525270416,-0.547949578,-0.738161908,-0.809233089,-0.433558928,-0.427986448,-0.476452662,-0.520087192,1.007796331,-0.702163389,2.045419117,-0.628727171,-0.53540677,-0.09912279,-0.104541675
19,-3.757399328,2.430625994,2.78845545,-4.538946779,-4.507522078,-4.884639252,2.604138974,2.861731007,-2.154857839,-1.994728806,-1.925972214,3.365226699,-1.604497443,-2.129732997,2.364768599,-2.131449872,-1.914544417,-2.209126512,-1.997052802,3.08313783,-1.997523458,-2.073811709,-0.332539431,-0.460704997,-0.525270416,-0.547949578,-0.738161908,-0.809233089,-0.433558928,-0.427986448,-0.476452662,1.581135044,-0.062211856,-0.728660848,-0.687883733,1.942588902,-0.631582353,-0.09912279,-0.104541675
20,2.004459467,1.126180056,0.829633109,1.477885558,1.364368813,1.061327863,0.413026173,1.043770532,0.590930992,1.613680074,1.74916816,1.18119379,1.476128129,1.430451635,1.202125661,0.951235126,1.746966664,1.34808826,1.185056034,0.311727484,1.432845353,1.355680648,-0.332539431,-0.460698624,-0.525270416,-0.547949578,-0.738161908,-0.809233089,-0.433558928,-0.427986448,-0.476452662,3.59218321,1.458186165,0.210360887,-0.585633469,-0.634874672,-0.544872564,-0.09912279,-0.104541675
21,1.428273583,0.473957081,0.829633109,1.015052297,1.138526854,2.052322391,0.413026173,0.004935964,0.934154599,0.793587141,1.13664477,0.401182029,0.705971738,0.621318759,0.272011313,0.26619401,0.831588897,0.81450604,0.707739705,0.311727484,1.089808469,1.01273141,2.625143009,-0.004758684,-0.525270416,0.800975828,-0.738161908,-0.809233089,-0.433558928,-0.427986448,-0.476452662,-0.541714985,1.458186165,0.210360887,-0.585633469,-0.634874672,-0.544872564,-0.09912279,-0.104541675
22,1.428273583,0.473957081,0.437868637,1.477885558,1.590210773,1.309076495,-0.317344758,-0.254772669,0.247707385,0.629568555,1.28977562,0.557184381,1.091049938,0.944971909,1.202125661,0.608714568,1.441840749,0.81450604,1.185056034,0.588868521,0.918290028,1.01273141,5.582825449,0.886105317,-0.525270416,2.149901233,-0.738161908,-0.809233089,-0.433558928,-0.427986448,-0.476452662,-0.433576142,1.43909277,0.214425834,-0.584580613,-0.634802779,-0.54430587,-0.09912279,-0.104541675
23,0.8520877,1.778403019,1.22139758,1.015052297,0.912684895,1.061327863,1.143397104,1.822896448,0.590930992,1.285642901,-0.088402022,1.493198483,-0.064184653,1.106798485,0.504539902,0.608714568,-0.083788871,0.6366453,-0.087787498,1.420291621,0.746771586,-0.016116292,-0.332539431,-0.460704997,-0.525270416,2.193551385,-0.738161908,-0.809233089,-0.433558928,-0.427986448,-0.476452662,0.437857341,1.458186165,0.210360887,-0.585633469,-0.634874672,-0.544872564,-0.09912279,-0.104541675
24,0.8520877,1.126180056,0.437868637,1.940718818,0.912684895,1.556825127,-0.317344758,0.78406189,0.590930992,0.957605728,0.217859668,0.245179677,-0.064184653,1.430451635,0.504539902,1.293755684,0.526462971,0.6366453,0.866845148,1.143150594,0.746771586,0.326832933,-0.332539431,-0.460692251,-0.525270416,0.800975828,-0.738161908,-0.809233089,-0.433558928,-0.427986448,-0.476452662,-0.611256705,1.458186165,0.210360887,-0.585633469,-0.634874672,-0.544872564,12.12602132,-0.104541675
25,0.8520877,1.126180056,0.829633109,1.015052297,0.912684895,1.061327863,0.413026173,1.043770532,0.247707385,0.629568555,0.830383069,1.18119379,0.705971738,0.459492184,1.202125661,0.26619401,0.831588897,0.280923821,0.866845148,0.866009557,0.403734702,1.01273141,-0.332539431,-0.460698624,-0.525270416,-0.547949578,-0.738161908,-0.809233089,-0.433558928,-0.427986448,-0.476452662,0.437857361,1.458186165,0.210360887,-0.585633469,-0.634874672,-0.544872564,-0.09912279,9.565563235
26,0.8520877,0.473957081,0.829633109,1.015052297,1.364368813,1.556825127,0.413026173,0.004935964,1.277378206,0.629568555,0.98351392,0.401182029,0.320893538,0.459492184,0.272011313,0.26619401,0.373900008,0.280923821,1.025950591,0.311727484,1.089808469,0.841256791,2.625143009,1.342051726,-0.525270416,0.800975828,-0.738161908,-0.809233089,-0.433558928,-0.427986448,-0.476452662,-0.671481574,1.458186165,0.210360887,-0.585633469,-0.634874672,-0.544872564,-0.09912279,-0.104541675
27,0.8520877,0.473957081,1.613162051,1.015052297,0.912684895,1.061327863,1.508582573,0.524353248,0.934154599,-0.026505779,0.370990518,1.025191438,0.320893538,-0.187814106,0.272011313,0.951235126,0.373900008,0.99236678,0.389528819,1.420291621,1.089808469,0.498307553,-0.332539431,0.886105317,-0.525270416,-0.547949578,2.01381423,3.062590509,-0.43355881,-0.427986448,-0.476452662,0.504237724,1.458186165,0.210360887,-0.585633469,-0.634874672,-0.544872564,-0.09912279,-0.104541675
28,0.8520877,0.473957081,1.22139758,1.940718818,0.912684895,1.556825127,1.143397104,0.264644606,0.934154599,0.301531382,0.217859668,0.245179677,-0.064184653,1.430451635,0.504539902,1.636276242,0.526462971,1.34808826,0.866845148,0.866009557,0.403734702,0.326832933,-0.332539431,0.451187819,-0.525270416,0.800975828,-0.738161908,-0.809233089,-0.433558928,-0.427986448,-0.476452662,-0.671481574,1.458186165,0.210360887,-0.585633469,-0.634874672,-0.544872564,-0.09912279,-0.104541675
29,0.8520877,1.126180056,0.829633109,1.477885558,1.816052732,1.556825127,0.413026173,1.043770532,0.247707385,0.629568555,0.830383069,1.18119379,0.705971738,0.459492184,1.202125661,0.951235126,1.136714823,0.6366453,1.185056034,0.311727484,0.060697831,0.326832933,-0.332539431,-0.460698624,-0.525270416,-0.547949578,-0.738161908,-0.809233089,-0.433558928,-0.427986448,-0.476452662,-0.004014856,1.43909277,0.214425834,-0.584580613,-0.634802779,-0.54430587,-0.09912279,-0.104541675
30,1.428273583,0.473957081,-0.149778055,0.320802423,0.235159033,0.318081985,0.413026173,0.524353248,1.44899001,1.449661488,1.28977562,1.025191438,1.861206329,1.26862506,0.620804197,0.951235126,1.289277786,1.525949,1.344161476,0.588868521,1.089808469,1.527155267,-0.332539431,-0.460695438,-0.525270416,-0.547949578,-0.738161908,-0.809233089,-0.433558928,-0.427986448,-0.476452662,0.183647021,-1.317996391,2.346903156,-0.566276481,-0.64209397,3.014315261,-0.09912279,-0.104541675
31,0.563994765,-0.504377369,-0.149778055,0.66792736,0.573921964,0.689704924,0.413026173,0.524353248,0.934154599,0.957605728,1.060079339,0.557184381,1.283589034,1.025885191,0.620804197,0.951235126,1.060433336,0.99236678,1.582819635,1.420291621,1.347086126,1.01273141,-0.332539431,2.243430015,-0.525270416,-0.547949578,-0.738161908,-0.809233089,-0.433558928,-0.427986448,-0.476452662,-0.267763214,-1.317996391,2.346903156,-0.566276481,-0.64209397,3.014315261,-0.09912279,-0.104541675
32,-0.300284054,1.452291543,0.437868637,-0.373447468,-0.442366844,-0.425163911,0.413026173,1.303479164,0.934154599,0.957605728,0.830383069,0.557184381,0.705971738,0.783145334,0.272011313,0.951235126,0.831588897,0.99236678,0.866845148,2.251714731,1.089808469,1.01273141,-0.332539431,-0.460704997,-0.525270416,-0.547949578,-0.738161908,-0.809233089,-0.433558928,-0.427986448,-0.476452662,0.628403653,-1.317996391,2.346903156,-0.566276481,-0.64209397,3.014315261,-0.09912279,-0.104541675
33,-0.300284054,0.473957081,-0.149778055,1.015052297,0.912684895,1.061327863,0.413026173,0.524353248,0.934154599,0.957605728,0.830383069,1.025191438,0.705971738,0.783145334,0.620804197,1.465015963,0.831588897,0.99236678,1.821477794,0.588868521,1.089808469,1.01273141,-0.332539431,-0.460695438,-0.525270416,-0.547949578,-0.738161908,-0.809233089,-0.433558928,-0.427986448,-0.476452662,-0.604195186,-1.317996391,2.346903156,-0.566276481,-0.64209397,3.014315261,-0.09912279,-0.104541675
34,-0.300284054,-0.504377369,2.78845545,-0.373447468,-0.442366844,-0.425163911,2.604138974,0.524353248,0.934154599,0.957605728,0.830383069,0.557184381,0.705971738,0.783145334,0.272011313,0.951235126,0.831588897,0.99236678,0.866845148,0.588868521,1.089808469,1.01273141,-0.332539431,-0.460704997,-0.525270416,-0.547949578,-0.738161908,-0.809233089,-0.433558928,-0.427986448,-0.476452662,0.628403653,-1.317996391,2.346903156,-0.566276481,-0.64209397,3.014315261,-0.09912279,-0.104541675
35,0.391139001,-0.700044264,-1.442600804,-0.095747508,0.370664202,-0.127865549,-1.778086628,-1.189723773,-2.154857839,-0.813794992,0.279112013,-0.75323537,0.243877902,-0.187814106,0.969597072,-0.898375872,0.648513339,-0.928529195,-0.087787498,-0.907693065,-0.762590687,-0.427655383,-0.332539431,-0.46069735,-0.525270416,-0.547949578,-0.738161908,-0.809233089,-0.433558928,-0.427986448,-0.476452662,0.130871601,0.702448939,-0.734647135,0.426111407,-0.398248657,-0.631813341,-0.09912279,-0.104541675
36,-0.300284054,-1.482711819,-0.502366076,-0.92884737,-0.713377199,-1.019760617,-0.463418947,-1.813024512,-0.507384543,-1.010617299,-0.272159044,-1.314843834,-0.680309771,-0.964581665,-0.425574446,-1.309400535,-0.633015533,-1.141962086,-0.469640566,-0.242554579,-0.145124302,-0.839194462,-0.332539431,-0.460704997,2.402629651,-0.547949578,0.886733612,1.170592675,-0.433558928,2.696158399,2.273337294,-0.509781619,0.702448939,-0.734647135,0.426111407,-0.398248657,-0.631813341,-0.09912279,-0.104541675
37,-2.374553218,1.647958426,0.907986008,-0.651147427,-0.713377199,-0.722462273,0.851248733,1.615129539,-1.742989518,-0.813794992,-2.293486249,1.118792845,-2.528685116,-1.741349224,0.132494158,-0.076326536,-1.548393312,-0.928529195,-0.851493622,0.422583897,-2.409167711,-3.308428957,-0.332539431,-0.460704997,-0.525270416,2.689471395,-0.738161908,-0.809233089,-0.433558928,-0.427986448,-0.476452662,0.159339674,0.702448939,-0.734647135,0.426111407,-0.398248657,-0.631813341,-0.09912279,-0.104541675
